mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=1, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=fffff448, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=1, operand1=4294967246, operand2=        60, mul_opcode=01, mulresult=fffff448, result_m=fffff448,flagM=1, alu_result=fffff448, alu_op=5b'00000, alu_opE=01100'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=fffff448, alu_op=5b'01101, alu_opE=00000'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=fffff448, alu_op=5b'01101, alu_opE=xxxxx'b, data_wr=fffff448
